instance,step,fit_gp,argmax_acq,evaluate_objective,bo_step
X-n101-k25.xml,1,331.50390600000003,109.27570800000001,55.466385,497.178503
X-n101-k25.xml,2,291.948188,94.096822,51.900076,438.14716
X-n101-k25.xml,3,278.241777,184.381372,53.154907,515.950415
X-n101-k25.xml,4,284.59367,186.537398,55.945768,527.252122
X-n101-k25.xml,5,304.363706,144.391427,55.209145,504.141527
X-n101-k25.xml,6,283.704699,186.839793,57.624634,528.34781
X-n101-k25.xml,7,294.373935,186.582121,55.679206,537.477903
X-n101-k25.xml,8,333.154516,211.10884,53.868407,598.43359
X-n101-k25.xml,9,313.817597,143.299553,70.805063,528.48835
X-n101-k25.xml,10,354.853789,185.683175,61.827986,602.577817
X-n101-k25.xml,11,392.955967,231.643043,52.423162,677.406817
X-n101-k25.xml,12,390.945871,200.862571,51.871287,643.969681
X-n101-k25.xml,13,353.63411,165.857436,53.319476,573.00275
X-n101-k25.xml,14,382.455064,248.503284,56.699835,687.860379
X-n101-k25.xml,15,384.599686,193.383401,55.659765,633.837201
X-n101-k25.xml,16,387.524263,164.692859,56.864226,609.279038
X-n101-k25.xml,17,369.309644,197.752121,56.968608,624.488773
X-n101-k25.xml,18,357.631379,209.27217100000001,52.700734,619.805752
X-n101-k25.xml,19,419.644614,260.636167,52.933518,733.821874
X-n101-k25.xml,20,471.569889,188.203321,54.624809,714.605244
X-n101-k25.xml,21,436.420185,219.730881,56.726701,713.347179
X-n101-k25.xml,22,465.66330700000003,206.961306,51.999201,724.835078
X-n101-k25.xml,23,433.429009,237.054098,52.350874,723.080907
X-n101-k25.xml,24,437.750249,234.638456,55.28579,727.889094
X-n101-k25.xml,25,451.861121,195.849548,56.950828,705.122651
X-n101-k25.xml,26,471.542788,196.537179,54.479993,722.807052
X-n101-k25.xml,27,466.735596,250.581077,56.15456,773.737163
X-n101-k25.xml,28,484.450562,217.734732,52.726082,755.368196
X-n101-k25.xml,29,441.904841,191.233766,53.719804,687.200512
X-n101-k25.xml,30,440.420049,218.615518,52.519938,712.074754
X-n101-k25.xml,31,558.907175,192.244523,52.928075,804.30612
X-n101-k25.xml,32,513.714463,301.624108,55.257704,870.824403
X-n101-k25.xml,33,467.045548,230.6946,53.302633,751.529365
X-n101-k25.xml,34,409.57653,7.52604,57.830225,475.165076
X-n101-k25.xml,35,603.954059,266.30725,55.957222,926.469933
X-n101-k25.xml,36,588.4210410000001,269.070085,53.887869,911.956747
X-n101-k25.xml,37,476.202063,192.593122,53.807815,722.840714
X-n101-k25.xml,38,520.433914,276.223163,54.574829,851.614775
X-n101-k25.xml,39,547.269528,316.621681,63.037564,927.462046
X-n101-k25.xml,40,525.253325,282.343171,60.021691,868.071619
X-n101-k25.xml,41,515.786569,221.825862,58.875283,796.754853
X-n101-k25.xml,42,587.981641,213.220326,55.635221,857.128078
X-n101-k25.xml,43,542.796237,218.81527,51.873481,813.788808
X-n101-k25.xml,44,600.148214,272.529285,56.925582,929.880078
X-n101-k25.xml,45,496.002445,254.882274,63.693405,815.031635
X-n101-k25.xml,46,658.463958,237.815796,51.644058,948.266248
X-n101-k25.xml,47,568.386409,220.171342,53.734626,842.955023
X-n101-k25.xml,48,659.121207,218.877762,53.14484,931.413648
X-n101-k25.xml,49,679.167354,260.770178,106.745864,1047.332993
X-n101-k25.xml,50,664.344513,190.826888,59.648393,915.616829
X-n209-k16.xml,1,229.01306,117.940679,85.04991,432.473278
X-n209-k16.xml,2,285.972672,119.98830000000001,82.342043,488.744764
X-n209-k16.xml,3,271.896961,165.243433,92.614657,530.145677
X-n209-k16.xml,4,306.830376,200.394692,104.238191,611.654199
X-n209-k16.xml,5,345.732679,129.136361,83.233495,558.293054
X-n209-k16.xml,6,279.409674,218.116828,92.718929,590.4347319999999
X-n209-k16.xml,7,309.159362,149.174643,83.222275,541.74488
X-n209-k16.xml,8,306.759092,224.083662,105.20718,636.300611
X-n209-k16.xml,9,307.437326,159.86999,80.795371,548.718632
X-n209-k16.xml,10,303.968711,257.836536,89.039011,651.469016
X-n209-k16.xml,11,404.586928,306.370943,117.49522,828.658323
X-n209-k16.xml,12,499.893513,167.836654,82.780797,750.985549
X-n209-k16.xml,13,389.594591,179.786751,87.787361,657.4066
X-n209-k16.xml,14,397.313696,156.083076,98.836057,652.875932
X-n209-k16.xml,15,386.59463900000003,273.578345,97.339325,757.742375
X-n209-k16.xml,16,452.008044,244.678457,100.444627,797.377729
X-n209-k16.xml,17,408.905925,141.37058,80.858146,631.362393
X-n209-k16.xml,18,495.932966,214.038047,83.183739,793.840702
X-n209-k16.xml,19,555.207442,260.46064,80.077547,896.081681
X-n209-k16.xml,20,501.322824,46.838994,91.098669,639.979376
X-n209-k16.xml,21,417.815905,241.542989,90.534501,750.520572
X-n209-k16.xml,22,450.298175,320.457123,91.058199,862.438899
X-n209-k16.xml,23,468.317072,236.462576,101.027159,806.698874
X-n209-k16.xml,24,442.445116,149.859119,88.229008,680.79631
X-n209-k16.xml,25,609.335621,237.83311,85.487038,932.937971
X-n209-k16.xml,26,480.117429,281.487484,89.73607,851.713926
X-n209-k16.xml,27,539.199645,272.809739,92.566294,904.850731
X-n209-k16.xml,28,450.500036,208.114102,79.616466,738.564365
X-n209-k16.xml,29,485.351659,281.76675,79.895498,847.346037
X-n209-k16.xml,30,583.212071,193.28581,80.199314,856.946009
X-n209-k16.xml,31,567.534557,220.956107,80.255608,869.298961
X-n209-k16.xml,32,548.626517,316.174339,87.090413,952.159826
X-n209-k16.xml,33,512.260617,185.639766,93.225881,791.546094
X-n209-k16.xml,34,599.783544,308.207439,81.709526,989.966621
X-n209-k16.xml,35,538.708351,298.712841,80.48246,918.163094
X-n209-k16.xml,36,519.871365,254.3096,80.616852,855.064301
X-n209-k16.xml,37,534.452264,241.299722,80.748609,856.848053
X-n209-k16.xml,38,591.113017,248.793564,79.621364,919.834817
X-n209-k16.xml,39,528.358522,189.636277,94.05637300000001,812.350049
X-n209-k16.xml,40,572.479462,245.609311,92.93241900000001,911.339529
X-n209-k16.xml,41,594.38197,276.238831,82.090938,952.984493
X-n209-k16.xml,42,887.40372,234.92274,89.820184,1212.789784
X-n209-k16.xml,43,634.854417,260.011698,83.510778,978.693708
X-n209-k16.xml,44,684.120119,284.495728,91.89621700000001,1060.849966
X-n209-k16.xml,45,568.515868,282.526166,92.685629,944.290256
X-n209-k16.xml,46,611.268543,260.942103,89.255866,962.03036
X-n209-k16.xml,47,762.710797,235.42365,88.530382,1087.239818
X-n209-k16.xml,48,859.513833,267.698057,91.68951,1219.506221
X-n209-k16.xml,49,605.251825,241.584951,82.323068,929.934619
X-n209-k16.xml,50,789.136559,275.165459,91.687557,1157.306007
X-n641-k35.xml,1,267.042655,108.114731,213.430702,589.293968
X-n641-k35.xml,2,306.658408,123.658924,205.634622,636.591809
X-n641-k35.xml,3,271.270846,180.376027,212.233926,664.711573
X-n641-k35.xml,4,294.129708,208.058113,229.231647,731.876707
X-n641-k35.xml,5,375.997019,123.384034,223.78423800000002,723.435685
X-n641-k35.xml,6,366.484087,321.688494,225.42898300000002,913.979508
X-n641-k35.xml,7,386.171416,140.11928699999999,208.948626,735.451337
X-n641-k35.xml,8,368.891845,178.137575,219.427592,766.684421
X-n641-k35.xml,9,352.283698,130.398771,206.65896,689.712867
X-n641-k35.xml,10,375.512879,196.107578,220.113185,792.400233
X-n641-k35.xml,11,437.503656,276.718286,212.880636,927.483267
X-n641-k35.xml,12,532.135788,125.129212,206.837331,864.348785
X-n641-k35.xml,13,452.194372,166.833581,230.316735,850.310949
X-n641-k35.xml,14,397.57978,190.398008,205.456709,793.89926
X-n641-k35.xml,15,451.089583,228.339468,213.152887,893.31634
X-n641-k35.xml,16,395.38951,276.425256,223.221975,895.326869
X-n641-k35.xml,17,342.195284,165.90911499999999,210.31123300000002,718.64338
X-n641-k35.xml,18,418.552846,185.152273,210.199544,814.495248
X-n641-k35.xml,19,451.512627,161.986969,218.620869,833.094282
X-n641-k35.xml,20,431.29310399999997,214.218665,213.139759,858.917839
X-n641-k35.xml,21,413.802864,301.216151,214.290185,929.582629
X-n641-k35.xml,22,498.50581999999997,196.86133999999998,206.896454,902.813406
X-n641-k35.xml,23,467.286525,189.382221,206.933049,863.840841
X-n641-k35.xml,24,553.108968,261.243899,237.190615,1051.815097
