instance,step,fit_kpca,fit_gp,argmax_acq,find_preimages,evaluate_objective,embedding_dim
X-n101-k25.xml,1,13.282671,302.082773,45.244489,21.57409,64.391938,129
X-n101-k25.xml,2,13.447737,167.535911,112.073691,19.414074,48.691713,128
X-n101-k25.xml,3,13.724973,240.054661,9.670581,21.327466,46.811017,128
X-n101-k25.xml,4,13.550596,186.649681,19.745176,23.98041,36.287857,126
X-n101-k25.xml,5,16.024101,220.079071,6.280917,20.173457,36.63367,124
X-n101-k25.xml,6,17.730162,276.977902,8.338151,23.639422,38.285633,122
X-n101-k25.xml,7,16.858935,343.456186,9.764761,21.806946,35.610256,120
X-n101-k25.xml,8,16.36257,397.363878,7.94074,21.481499,36.6,118
X-n101-k25.xml,9,17.019448,353.30866100000003,24.861325,25.741514,38.830127,116
X-n101-k25.xml,10,21.148249,367.804586,6.903212,26.114779,36.370919,113
X-n101-k25.xml,11,19.912439,333.889214,76.195716,27.397188,37.579125,111
X-n101-k25.xml,12,17.246115,264.004968,16.572642,27.950204,36.560095,109
X-n101-k25.xml,13,17.909323,252.545565,22.390757,26.11581,35.882928,107
X-n101-k25.xml,14,19.645794,357.300165,4.839112,28.629493,48.048385,105
X-n101-k25.xml,15,19.422691,346.505949,23.378855,27.862074,35.741525,103
X-n101-k25.xml,16,20.288395,363.869722,3.669231,28.458212,37.225891,101
X-n101-k25.xml,17,26.465406,348.789742,6.059337,27.779834,39.504524,98
X-n101-k25.xml,18,27.784017,391.004081,4.110684,29.380293,36.213738,96
X-n101-k25.xml,19,24.377261,373.504514,8.350608,28.032076,37.449791,94
X-n101-k25.xml,20,21.642635,513.147708,3.992776,27.28383,37.975548,93
X-n101-k25.xml,21,22.942867,257.078619,4.566706,28.229425,37.253841,90
X-n101-k25.xml,22,22.292352,291.671891,5.221291,26.710662,37.284891,88
X-n101-k25.xml,23,22.971997,290.714848,3.21908,28.42509,38.561697,87
X-n101-k25.xml,24,22.067989,306.669776,2.88247,28.35922,43.966906,84
X-n101-k25.xml,25,29.888038,268.389662,2.953792,27.052664,36.555693,82
X-n101-k25.xml,26,30.472536,300.218354,3.12092,29.199514,36.805366,81
X-n101-k25.xml,27,29.751973,270.890021,3.623979,31.261905,35.982314,79
X-n101-k25.xml,28,28.250595,622.700949,3.020573,30.277195,42.448732,77
X-n101-k25.xml,29,27.632587,475.571508,3.118678,29.659547,36.211463,75
X-n101-k25.xml,30,32.796222,516.025722,3.047186,27.634889,43.696637,73
X-n101-k25.xml,31,32.534844,578.62154,2.812734,33.091208,41.630987,72
X-n101-k25.xml,32,30.941186,579.945554,2.871102,30.751124,36.096057,70
X-n101-k25.xml,33,31.695099,557.225868,2.703167,31.988049,36.255094,68
X-n101-k25.xml,34,39.763826,559.334261,2.744585,30.435956,52.253204,67
X-n101-k25.xml,35,32.39226,532.391619,2.686283,31.793003,35.807498,65
X-n101-k25.xml,36,31.655461,483.418304,3.135408,33.258872,37.902636,64
X-n101-k25.xml,37,33.888873,568.536575,2.645157,35.303101,36.583964,62
X-n101-k25.xml,38,34.752477,581.788248,2.775659,35.029337,35.988291,61
X-n101-k25.xml,39,34.284691,519.66982,2.652509,34.073054,36.784312,59
X-n101-k25.xml,40,35.602482,578.890731,2.602674,35.092453,36.994395,57
X-n101-k25.xml,41,35.872703,547.291052,2.876797,36.229432,36.61902,56
